,Date,Tweets
84,2020-07-23,$GRAF institutional positions are getting bigger and bigger. Holding 163%. Biggest positions ever $SPAC $GRAF #GOOG #FORD #TSLA #LK #INO #SAVE #BTC  #ETC #LCA $GAN $NKLA $V $APPL @jimcramer #Covid_19 $NFIN #미국주식 #증시 #테슬라 #애플 #NVAX #MRNA @stoolpresidente https://t.co/5n160rowGP
85,2020-07-23,"RT @Travisdleslie: Tesla could potentially have the most accurate map system that is updated regularly, if not daily. Giving us live update…"
86,2020-07-23,"@BWUIC Bearish day for #AMZN, #APPL, #GOOGL, #TSLA."
87,2020-07-23,@TriterrasGroup  reverse merger with $NFIN announcement expected on July 29th 2020. Their trading platform uses #blockchain technology. $SPAC $GRAF #GOOG #FORD #TSLA #LK #INO #SAVE #BTC   #ETC #LCA $GAN $NKLA $V $APPL @jimcramer #Covid_19 $NFIN #미국주식 #주식 #증시 #테슬라 https://t.co/YaTIsX2CwT
88,2020-07-23,"Stock name - Tesla Inc. (#TSLA) - $410 to $1596 now 

https://t.co/sfa6pEy112 https://t.co/HklQe38vcN"
89,2020-07-23,"@lorakolodny @CNBCtech It lasts as long as auto companies make more  petrol and diesel fueled cars with large engines, than they make Battery EVs. On current trends, I  would say 3 to 5 years. More than enough time for other businesses within #TSLA to mature profitably."
90,2020-07-23,"RT @Ghost_TeslaPhx: If you're happy and you know it...
$TSLA #TSLA #TESLA @Tesla https://t.co/iRxuglUbr4"
91,2020-07-23,$GRAF keep growing🤗 $SPAC $GRAF #GOOG #FORD #TSLA #LK #INO #SAVE #BTC  #ETC #LCA $GAN $NKLA $V $APPL @jimcramer #Covid_19 $NFIN #미국주식 #주식 #증시 #테슬라 https://t.co/Ku1k2Mc5Lj
92,2020-07-23,#TSLA all over the place https://t.co/Qx82GFpRp6
93,2020-07-23,"RT @techandgeek: #TSLA is now the world's most valuable automaker representing 1/3 of the global vhicle market.

Not the global electric ve…"
94,2020-07-23,https://t.co/oexWVbWMzu Wall Street's rally stalls amid discouraging rise in layoffs $TSLA #TSLA #Coronavirus #Infectiousdiseases #Diseasesandconditions
95,2020-07-23,Wall Street's rally stalls amid discouraging rise in layoffs $TSLA #TSLA #Coronavirus #Infectiousdiseases #Diseasesandconditions https://t.co/oeUiqlFtHI
96,2020-07-23,"+$144 in 30 minutes | Small Account Trade Log | [Day Trading]
Watch how I did it on my youtube channel EZPrime Trader
https://t.co/h4KyOM43ye

#daytrading  #daytrade #optionsscalping #OptionsTrading #investing #AAPL #TSLA https://t.co/E5Il4QNFaa"
97,2020-07-23,"#TSLA is now the world's most valuable automaker representing 1/3 of the global vhicle market.

Not the global electric vehicle market, but the global vehicle market in general. 

They are worth $100B more than the 2nd place automaker, Toyota. https://t.co/YFAVgoKPLr"
98,2020-07-23,"#tsla Just checked and I bought 10 Tesla shares in 2016 for £1'672 wow!

08/06/2016BoughtB77685524116,661.46    101,672.10"
99,2020-07-23,This might say more than thousand words! #TSLA https://t.co/Q8ncBf0uST
100,2020-07-23,Why Tesla Stock Jumped 6.1% Thursday Before Pulling Back $TSLA https://t.co/EXYed6X8Ij #TSLA #TeslaMotors
101,2020-07-23,"☑️Jim Cramer angrily bashed all Elon Musk Haters ..(Epic stuff)

🔥🔥🔥

""He is a big thinker, he makes us look like Lilliputian""

🤣🤣😍

@Tesla #ElonMusk #TSLA
#technology @elonmusk https://t.co/PxwrditrV9"
102,2020-07-23,"Just a reminder, buying #tsla at the $1600+ level is still buying low..
The future is so bright for Tesla. Don't be discouraged if it doesn't shoot up the next few days, it will inevitably."
103,2020-07-23,RT @TrendSpider: $TSLA #TSLA Talk about crushed premiums...
104,2020-07-23,RT @TrendSpider: $TSLA #TSLA and dreams****
105,2020-07-23,"RT @CapitalPmh: #NKLA 

Along with #TSLA, another bellweather of the recent Tech buying frenzy, is hydrogen-fuel cell / electric truck make…"
106,2020-07-23,Is Gold The Next TSLA? #tsla https://t.co/3PnqvRWVkk
107,2020-07-23,Good thing I’m an invester and not a day trader #novn #ntec #inuv #tsla #ctrm #idex #spaq #nakd #bioc
108,2020-07-23,#TSLA green again - lol https://t.co/2a8MNZ9C0N
109,2020-07-23,$TSLA #TSLA and dreams**** https://t.co/0UbOcAX8JT
110,2020-07-23,$TSLA #TSLA Talk about crushed premiums...
111,2020-07-23,"RT @Progressiveinv2: When @chamath talks about stocks, you listen! The man has Math in his name ffs, trust him.
#TSLA https://t.co/LMz8tbUA…"
112,2020-07-23,@spotted_model Protection from jumping #TSLA Shorts?
113,2020-07-23,https://t.co/PYI1GGnitT up on strong nickel demand #tsla
114,2020-07-23,"When @chamath talks about stocks, you listen! The man has Math in his name ffs, trust him.
#TSLA https://t.co/LMz8tbUAYQ"
115,2020-07-23,"I just emailed and left a message for @secenforcement.  I will educate them on #tsla when they respond.

These numbers are a DEEP state-conspiracy-fraud-ponzi-pump!!!!!😡🤬 #tslaq"
116,2020-07-23,Jim Cramer: Tesla CEO Elon Musk is a 'big thinker' $TSLA https://t.co/Ujo0BlsiYm #TSLA #TeslaMotors
117,2020-07-23,"RT @HitmanTrading: Interested in finding out more about the Advanced Market Momentum Finder???

Join our dedicated Telegram chat group and…"
118,2020-07-23,"#TSLA
Produces fantastic quarter results and market tanks?? Am I missing something?? 🧐🧐"
119,2020-07-23,1 hour charts for the Group 3 instruments are available for members viewing https://t.co/x2kmaKA6Ui #ElliottWave #Stocks #ETF's #SPY #GDX #XME #XLE #IYR #AAPL #FB #AMZN #NFLX #GOOGL #MSFT #NVDA #AMD #TSLA #BABA #XOM #BAC #NKE #GE #Trading https://t.co/WSfzSxFmhR
120,2020-07-23,"7/23

TSLA could be a noteworthy short.

⬇️ momentum, 📈 prices, divergence is obvious.

Buy orders are shrinking, sellers are hitting the bid. 

When retail texts me in the morn and asks if it's a good time to buy TSLA at the open. You short!

1600 and falling.

$tsla #tsla"
